x,j₀(x),j₁(x),j₂(x),j₃(x),y₀(x),y₁(x),j₀_scaled(x),j₁_scaled(x)
0.970000,0.8503976426,0.2939155788,0.0586196115,0.0082473669,-0.5827830218,-1.4512048816,1.0000000000,0.3727333333
0.980000,0.8474462964,0.2963507650,0.0597499228,0.0084957801,-0.5683903538,-1.4274364534,1.0000000000,0.3597333333
0.990000,0.8444706855,0.2987685100,0.0608884357,0.0087488419,-0.5542321824,-1.4043011727,1.0000000000,0.3466000000
1.000000,0.8414709848,0.3011686789,0.0620350520,0.0090065811,-0.5403023059,-1.3817732907,1.0000000000,0.3333333333
1.100000,0.8101885091,0.3241748979,0.0739248488,0.0118471423,-0.4123601104,-1.1850613368,1.0000000000,0.1933333333
1.200000,0.7766992383,0.3452845699,0.0865121863,0.0151828732,-0.3019647954,-1.0283365678,1.0000000000,0.0400000000
1.300000,0.7411986042,0.3643844427,0.0996885714,0.0190331394,-0.2057683297,-0.8994819347,1.0000000000,-0.1266666667
1.400000,0.7038926643,0.3813753724,0.1133402766,0.0234113298,-0.1214051021,-0.7906105943,1.0000000000,-0.3066666667
1.500000,0.6649966577,0.3961729707,0.1273492837,0.0283246416,-0.0471581344,-0.6964354140,1.0000000000,-0.5000000000
1.600000,0.6247335019,0.4087081401,0.1415942608,0.0337739250,0.0182497014,-0.6133274385,1.0000000000,-0.7066666667
1.700000,0.5833322414,0.4189274916,0.1559515673,0.0397535886,0.0757908790,-0.5387493714,1.0000000000,-0.9266666667
1.800000,0.5410264616,0.4267936424,0.1702962757,0.0462515679,0.1262233859,-0.4709023583,1.0000000000,-1.1600000000
1.900000,0.4980526777,0.4322853919,0.1845032042,0.0532493560,0.1701524036,-0.4084987811,1.0000000000,-1.4066666667
2.000000,0.4546487134,0.4353977750,0.1984479491,0.0607220977,0.2080734183,-0.3506120043,1.0000000000,-1.6666666667
2.100000,0.4110520794,0.4361419924,0.2120079097,0.0686387451,0.2404029070,-0.2965745046,1.0000000000,-1.9400000000
2.200000,0.3674983654,0.4345452194,0.2250632974,0.0769622747,0.2675005078,-0.2459072254,1.0000000000,-2.2266666667
2.300000,0.3242196575,0.4306502951,0.2374981188,0.0856499631,0.2896852266,-0.1982695589,1.0000000000,-2.5266666667
